415 ms ; init
3594504 ms ; SW3 ;has been pressed
3595187 ms ; SW1 ;has been pressed
3596079 ms ; SW4 ;has been pressed
3688270 ms ; SW2 ;has been pressed and the led UV has activate
3688500 ms ; SW2 ;has been pressed
3688619 ms ; SW2 ;has been pressed
3689034 ms ; SW2 ;has been pressed
3689751 ms ; SW1 ;has been pressed
3690140 ms ; SW2 ;has been pressed
3690272 ms ; SW2 ;has been pressed
3690868 ms ; SW2 ;has been pressed
3691196 ms ; SW3 ;has been pressed
3691214 ms ; SW1 ;has been pressed
3691602 ms ; SW1 ;has been pressed
3692108 ms ; SW2 ;has been pressed
3692288 ms ; SW4 ;has been pressed
